7305,6547,598,892,9981
3232,6986,5008,8636,894
9384,2064,5143,3002,1725
9304,6990,1991
9075,4582,4327
3397,2984,1295,1268,4830
9207
9598,3880,2993,4281,7806
163,1124,5454,242,1106
2695,9133,2957,4817,2781
9729,4449,2837,6069,1631
8960,8165,74,4494,5811
4040,3345,3676
6690,9762,1938,1912,7387
5600,1442,1099,7810
4214,5935
7936,9518,1713,7506,2775
9349,8663,955,4541,6751
9180
321,3395,4036,2506,6335
7200,941,21,6909,2783
5859,7302,4168,20,2552
1488,5265,5853
9432,9317,1710,9424
6514,8083,7479,2138,8701
2251,816,3314,2172,8639
9020,334,6201,5148,2493
3992,394,1947,2069
2277,3621,1959,4844,248
9274,3430
8281,3186,342,647
8002,1070,1297,3025,511
774,3048,332,628,7573
6699,5739,4389,367
464,1104,2029,6360
9536,9869,5428,7926,7806
8896,6208,1572,2854,2290
1376,1209,697
2536,9104,8822,7543,5407
9832,5041,2651,8200
1957,9321,1074,467,5044
9888,7489,2734,889,4540
192,2832,2098,7419,8701
9337,6599,5578,4629,3097
9732,2726,808,337,127
7718,5918,8083,3387,606
6529,7074,2546,1102
1563,5155,6349,671
2883,9955,8940,2325,2710
424,2025,3338,6519,5850
418,7490,8884,6712,5240
8802,595,846,1031
8096,8460,1133,1136,1432
426,6286,5776,5015,4989
3270,7624,9552,380,799
1666,3332,2215,6364,4319
922,6180,3662
8113,511
4037,1961,300,3090,1561
8572,2676,5421,9935
197,1031,2250,8555,6449
449,8099,4967,5162,8735
8953,7553
1441,8193,6990,8154,443
3203,6065,6261,6430,4447
129,4211,5718,2103,8254
2661,1925,6054,5369,1118
411,8245,1807
8453,5450,75,2009,1243
9920,825,7930,9535
7074,1034,906
8160,7200,997,6828,2192
6776,9930,6266,3160
6402,2409,8557,6256,7583
8165,11,1489,3965,3102
7649,7809,68,1330,3350
5066,9520,5201,4056,1819
490,747,6673,9749,1142
9062,4818,3315,6676,8190
6716,9055,6943
673,6728,9097,2577,887
4359,1610,5258,9145,6362
4032,1360,8914,786,9533
9163,8807,2501,3375
3147,6733,1775,1040,1141
1184,4067,4591,7377,4946
4065,968,3343,9199,7541
5958,3144,8520,5041,4797
9464,2827,7662,6131,7928
657,979,7908
8689,1821,637
7840,2753,7731,8597,1147
8579,4933,871,4216,7647
160,1059,7208,8713,4379
6021,8104,4046,2099,1366
7124,3445,4054,857,986
7992,1290,3211,8646
582,713,2159,7637,3743
1464,1277,795,9629
8902,1418,4537,9174,6585
1541,350
8163,2065,1299,1780,243
4841,6691,4516,9109
2826,3411,4885,1915,701
8096,7698,9282,1750
6281,9243,804,1293
562,7167
2372
3685,5126,2765,4413,2270
1904,6138,540,9255
9026,9037,3696,9042,8952
9993,3182,2719
1154,1032,1169,4375,761
9475,2979,998,781,8766
1216,4499,3382,1711
