5252;35;10177;1;1184;82;17822;3;8836;55
15899;1;10656;78;7560;74;577;21;19469;13
14659;75;11037;58;12822;24;3309;32;15189;46
18115;33;5845;20;3825;45;828;40;12221;61
10436;44;847;25;9643;37;19317;55;19578;54
16124;32;7517;24;19531;77;9381;46;18443;45
6883;61;2104;68;1580;71;18352;70;15279;44
7072;14;8300;47;3678;6;4363;32;10501;32
4617;63;16726;33;5081;8;8044;88;13646;66
14368;85;13889;26;3766;85;7850;33;5721;37
16524;89;5352;58;9839;68;14174;13;3482;36
14734;21;12126;61;12610;48;7584;78;9834;72
10775;70;6834;15;18465;11;2283;81;9483;31
15400;6;654;37;16528;83;17490;78;9281;60
361;89;14496;64;1366;4;13667;58;16606;46
7099;77;9339;12;18933;14;2590;9;16388;69
13143;73;14605;8;10062;17;2605;38;19085;42
1219;79;3411;44;8431;1;8059;65;2592;89
10473;75;3468;52;3964;26;15390;19;2887;55
8020;1;4008;1;14588;79;15533;66;8048;3
12098;73;15401;28;4554;64;4853;34;16289;64
11140;13;2448;59;14201;75;11968;50;5494;8
19244;32;12708;3;651;90;10003;34;6821;33
7191;42;19582;28;10248;78;12996;69;9090;50
9098;64;4061;51;16328;71;12071;57;16206;17
8711;54;11162;59;19787;79;16575;34;19769;39
16306;13;5151;82;14673;6;18082;87;108;41
2805;38;4000;9;9733;4;6440;32;10455;16
15989;48;5860;26;2192;19;11894;59;5318;86
5479;11;9406;50;12556;84;12551;58;8754;29
10605;37;3738;84;16707;23;13690;84;13015;86
12959;5;6090;77;10002;38;5280;64;17555;25
7729;38;10957;22;3732;5;1970;71;4974;29
8727;7;3420;19;9148;24;14238;40;9453;29
16403;6;14262;65;1104;88;15616;8;2328;12
7002;88;16067;66;162;1;16075;18;852;64
17941;23;14301;6;6982;56;19513;25;19844;5
18709;17;2673;52;13009;35;15052;49;2643;28
10657;37;7242;49;1098;65;15449;22;18897;68
15231;44;6179;85;10140;30;8895;28;568;17
11829;82;4172;84;10566;72;314;51;966;81
13674;12;17265;70;8966;72;19495;10;5188;28
18898;72;4811;85;13977;79;8147;43;11640;87
4092;87;13722;33;15401;55;17874;51;1472;42
15502;65;11649;88;13051;11;66;63;17024;83
623;21;6454;22;9532;58;18937;88;3387;84
4086;44;354;67;2754;89;14878;74;11066;89
14305;50;618;74;535;65;2436;74;11463;41
7384;86;13915;62;18598;84;17145;14;7462;50
15319;5;17258;72;1214;59;19217;68;4964;62
8027;63;17747;14;16140;40;4145;46;9685;31
17733;54;18331;45;1496;67;11601;8;10747;48
13378;23;18319;34;1165;35;2337;57;3027;78
12899;16;15319;16;15961;20;10907;22;9640;50
17323;28;9481;76;12148;42;4696;82;5656;41
8535;42;16713;85;4263;89;8441;49;2614;26
8259;71;14764;47;18071;25;16254;72;5044;14
8863;79;10786;70;16404;89;9861;14;8481;73
15957;35;12981;39;9326;28;11840;87;9898;20
1715;24;8650;39;16928;88;10398;88;11457;57
5109;56;14632;20;8145;43;6277;83;12643;43
7997;86;8040;48;19515;50;17555;12;19689;67
17406;22;8283;60;5552;44;16378;2;1787;11
7855;7;6299;13;3644;84;13840;40;6349;86
1032;45;13058;58;1581;23;9486;60;12823;86
15496;87;1536;33;1789;10;12851;1;12728;7
13629;50;4734;30;1883;58;18096;19;6893;4
7639;38;17805;33;2998;73;6314;73;8305;85
3117;13;3175;56;12551;59;16108;67;16229;75
12696;77;1087;88;3404;42;836;19;16635;54
19210;17;1777;88;5393;60;18595;78;5776;30
1440;13;3450;44;3149;62;11793;64;12201;13
11295;63;923;33;19127;74;6556;4;18475;63
9774;27;581;68;3432;85;12341;21;13432;74
19030;2;5603;64;16469;50;6405;19;11362;41
14245;73;8460;31;6333;21;15093;15;19173;51
2907;26;19803;30;5521;72;19614;64;7874;41
17677;48;6956;31;14828;51;19836;60;2817;44
10875;66;18662;17;15797;3;8588;35;10244;66
15464;10;14322;74;5696;83;14097;68;19712;8
8886;85;16998;22;14465;72;6358;57;17971;67
15904;33;609;45;16534;2;740;15;17013;86
14893;40;19909;24;11579;10;7545;47;1732;61
5523;34;3266;67;12786;5;3088;48;4786;66
11699;52;19744;57;14157;18;1092;38;9040;82
10908;40;1555;66;6032;74;9514;44;18293;51
15847;56;11780;70;12382;2;10074;27;17339;20
13266;38;12838;84;8777;39;16851;41;2146;81
7257;30;10255;3;8460;84;1675;69;11970;5
221;81;14733;50;5344;40;10139;45;7175;81
16733;11;169;78;1385;44;19694;20;8190;31
